,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
508,0,3,male,28.0,0,0,22.525,S,Third,man,True,Southampton,no,True,0
509,1,3,male,26.0,0,0,56.4958,S,Third,man,True,Southampton,yes,True,0
510,1,3,male,29.0,0,0,7.75,Q,Third,man,True,Queenstown,yes,True,0
512,1,1,male,36.0,0,0,26.2875,S,First,man,True,Southampton,yes,True,0
513,1,1,female,54.0,1,0,59.4,C,First,woman,False,Cherbourg,yes,False,1
514,0,3,male,24.0,0,0,7.4958,S,Third,man,True,Southampton,no,True,0
515,0,1,male,47.0,0,0,34.0208,S,First,man,True,Southampton,no,True,0
516,1,2,female,34.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,0
518,1,2,female,36.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,1
519,0,3,male,32.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
521,0,3,male,22.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
523,1,1,female,44.0,0,1,57.9792,C,First,woman,False,Cherbourg,yes,False,1
525,0,3,male,40.5,0,0,7.75,Q,Third,man,True,Queenstown,no,True,0
526,1,2,female,50.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,0
528,0,3,male,39.0,0,0,7.925,S,Third,man,True,Southampton,no,True,0
529,0,2,male,23.0,2,1,11.5,S,Second,man,True,Southampton,no,False,3
530,1,2,female,2.0,1,1,26.0,S,Second,child,False,Southampton,yes,False,2
532,0,3,male,17.0,1,1,7.2292,C,Third,man,True,Cherbourg,no,False,2
534,0,3,female,30.0,0,0,8.6625,S,Third,woman,False,Southampton,no,True,0
535,1,2,female,7.0,0,2,26.25,S,Second,child,False,Southampton,yes,False,2
536,0,1,male,45.0,0,0,26.55,S,First,man,True,Southampton,no,True,0
539,1,1,female,22.0,0,2,49.5,C,First,woman,False,Cherbourg,yes,False,2
541,0,3,female,9.0,4,2,31.275,S,Third,child,False,Southampton,no,False,6
542,0,3,female,11.0,4,2,31.275,S,Third,child,False,Southampton,no,False,6
543,1,2,male,32.0,1,0,26.0,S,Second,man,True,Southampton,yes,False,1
545,0,1,male,64.0,0,0,26.0,S,First,man,True,Southampton,no,True,0
546,1,2,female,19.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,1
548,0,3,male,33.0,1,1,20.525,S,Third,man,True,Southampton,no,False,2
549,1,2,male,8.0,1,1,36.75,S,Second,child,False,Southampton,yes,False,2
551,0,2,male,27.0,0,0,26.0,S,Second,man,True,Southampton,no,True,0
553,1,3,male,22.0,0,0,7.225,C,Third,man,True,Cherbourg,yes,True,0
554,1,3,female,22.0,0,0,7.775,S,Third,woman,False,Southampton,yes,True,0
555,0,1,male,62.0,0,0,26.55,S,First,man,True,Southampton,no,True,0
556,1,1,female,48.0,1,0,39.6,C,First,woman,False,Cherbourg,yes,False,1
559,1,3,female,36.0,1,0,17.4,S,Third,woman,False,Southampton,yes,False,1
561,0,3,male,40.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
562,0,2,male,28.0,0,0,13.5,S,Second,man,True,Southampton,no,True,0
565,0,3,male,24.0,2,0,24.15,S,Third,man,True,Southampton,no,False,2
566,0,3,male,19.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
567,0,3,female,29.0,0,4,21.075,S,Third,woman,False,Southampton,no,False,4
569,1,3,male,32.0,0,0,7.8542,S,Third,man,True,Southampton,yes,True,0
570,1,2,male,62.0,0,0,10.5,S,Second,man,True,Southampton,yes,True,0
571,1,1,female,53.0,2,0,51.4792,S,First,woman,False,Southampton,yes,False,2
572,1,1,male,36.0,0,0,26.3875,S,First,man,True,Southampton,yes,True,0
574,0,3,male,16.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
575,0,3,male,19.0,0,0,14.5,S,Third,man,True,Southampton,no,True,0
576,1,2,female,34.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0
577,1,1,female,39.0,1,0,55.9,S,First,woman,False,Southampton,yes,False,1
579,1,3,male,32.0,0,0,7.925,S,Third,man,True,Southampton,yes,True,0
580,1,2,female,25.0,1,1,30.0,S,Second,woman,False,Southampton,yes,False,2
582,0,2,male,54.0,0,0,26.0,S,Second,man,True,Southampton,no,True,0
583,0,1,male,36.0,0,0,40.125,C,First,man,True,Cherbourg,no,True,0
586,0,2,male,47.0,0,0,15.0,S,Second,man,True,Southampton,no,True,0
588,0,3,male,22.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
590,0,3,male,35.0,0,0,7.125,S,Third,man,True,Southampton,no,True,0
592,0,3,male,47.0,0,0,7.25,S,Third,man,True,Southampton,no,True,0
594,0,2,male,37.0,1,0,26.0,S,Second,man,True,Southampton,no,False,1
595,0,3,male,36.0,1,1,24.15,S,Third,man,True,Southampton,no,False,2
597,0,3,male,49.0,0,0,0.0,S,Third,man,True,Southampton,no,True,0
599,1,1,male,49.0,1,0,56.9292,C,First,man,True,Cherbourg,yes,False,1
600,1,2,female,24.0,2,1,27.0,S,Second,woman,False,Southampton,yes,False,3
603,0,3,male,44.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
604,1,1,male,35.0,0,0,26.55,C,First,man,True,Cherbourg,yes,True,0
605,0,3,male,36.0,1,0,15.55,S,Third,man,True,Southampton,no,False,1
606,0,3,male,30.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
607,1,1,male,27.0,0,0,30.5,S,First,man,True,Southampton,yes,True,0
608,1,2,female,22.0,1,2,41.5792,C,Second,woman,False,Cherbourg,yes,False,3
610,0,3,female,39.0,1,5,31.275,S,Third,woman,False,Southampton,no,False,6
614,0,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
615,1,2,female,24.0,1,2,65.0,S,Second,woman,False,Southampton,yes,False,3
616,0,3,male,34.0,1,1,14.4,S,Third,man,True,Southampton,no,False,2
617,0,3,female,26.0,1,0,16.1,S,Third,woman,False,Southampton,no,False,1
618,1,2,female,4.0,2,1,39.0,S,Second,child,False,Southampton,yes,False,3
619,0,2,male,26.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0
620,0,3,male,27.0,1,0,14.4542,C,Third,man,True,Cherbourg,no,False,1
621,1,1,male,42.0,1,0,52.5542,S,First,man,True,Southampton,yes,False,1
622,1,3,male,20.0,1,1,15.7417,C,Third,man,True,Cherbourg,yes,False,2
623,0,3,male,21.0,0,0,7.8542,S,Third,man,True,Southampton,no,True,0
624,0,3,male,21.0,0,0,16.1,S,Third,man,True,Southampton,no,True,0
625,0,1,male,61.0,0,0,32.3208,S,First,man,True,Southampton,no,True,0
626,0,2,male,57.0,0,0,12.35,Q,Second,man,True,Queenstown,no,True,0
628,0,3,male,26.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
631,0,3,male,51.0,0,0,7.0542,S,Third,man,True,Southampton,no,True,0
632,1,1,male,32.0,0,0,30.5,C,First,man,True,Cherbourg,yes,True,0
634,0,3,female,9.0,3,2,27.9,S,Third,child,False,Southampton,no,False,5
635,1,2,female,28.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0
636,0,3,male,32.0,0,0,7.925,S,Third,man,True,Southampton,no,True,0
637,0,2,male,31.0,1,1,26.25,S,Second,man,True,Southampton,no,False,2
638,0,3,female,41.0,0,5,39.6875,S,Third,woman,False,Southampton,no,False,5
640,0,3,male,20.0,0,0,7.8542,S,Third,man,True,Southampton,no,True,0
642,0,3,female,2.0,3,2,27.9,S,Third,child,False,Southampton,no,False,5
644,1,3,female,0.75,2,1,19.2583,C,Third,child,False,Cherbourg,yes,False,3
646,0,3,male,19.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
647,1,1,male,56.0,0,0,35.5,C,First,man,True,Cherbourg,yes,True,0
649,1,3,female,23.0,0,0,7.55,S,Third,woman,False,Southampton,yes,True,0
651,1,2,female,18.0,0,1,23.0,S,Second,woman,False,Southampton,yes,False,1
652,0,3,male,21.0,0,0,8.4333,S,Third,man,True,Southampton,no,True,0
654,0,3,female,18.0,0,0,6.75,Q,Third,woman,False,Queenstown,no,True,0
657,0,3,female,32.0,1,1,15.5,Q,Third,woman,False,Queenstown,no,False,2
658,0,2,male,23.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
661,0,3,male,40.0,0,0,7.225,C,Third,man,True,Cherbourg,no,True,0
662,0,1,male,47.0,0,0,25.5875,S,First,man,True,Southampton,no,True,0
663,0,3,male,36.0,0,0,7.4958,S,Third,man,True,Southampton,no,True,0
664,1,3,male,20.0,1,0,7.925,S,Third,man,True,Southampton,yes,False,1
666,0,2,male,25.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
668,0,3,male,43.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
670,1,2,female,40.0,1,1,39.0,S,Second,woman,False,Southampton,yes,False,2
671,0,1,male,31.0,1,0,52.0,S,First,man,True,Southampton,no,False,1
673,1,2,male,31.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,0
675,0,3,male,18.0,0,0,7.775,S,Third,man,True,Southampton,no,True,0
676,0,3,male,24.5,0,0,8.05,S,Third,man,True,Southampton,no,True,0
677,1,3,female,18.0,0,0,9.8417,S,Third,woman,False,Southampton,yes,True,0
678,0,3,female,43.0,1,6,46.9,S,Third,woman,False,Southampton,no,False,7
682,0,3,male,20.0,0,0,9.225,S,Third,man,True,Southampton,no,True,0
683,0,3,male,14.0,5,2,46.9,S,Third,child,False,Southampton,no,False,7
684,0,2,male,60.0,1,1,39.0,S,Second,man,True,Southampton,no,False,2
685,0,2,male,25.0,1,2,41.5792,C,Second,man,True,Cherbourg,no,False,3
686,0,3,male,14.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,5
687,0,3,male,19.0,0,0,10.1708,S,Third,man,True,Southampton,no,True,0
688,0,3,male,18.0,0,0,7.7958,S,Third,man,True,Southampton,no,True,0
690,1,1,male,31.0,1,0,57.0,S,First,man,True,Southampton,yes,False,1
691,1,3,female,4.0,0,1,13.4167,C,Third,child,False,Cherbourg,yes,False,1
693,0,3,male,25.0,0,0,7.225,C,Third,man,True,Cherbourg,no,True,0
694,0,1,male,60.0,0,0,26.55,S,First,man,True,Southampton,no,True,0
695,0,2,male,52.0,0,0,13.5,S,Second,man,True,Southampton,no,True,0
696,0,3,male,44.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
699,0,3,male,42.0,0,0,7.65,S,Third,man,True,Southampton,no,True,0
701,1,1,male,35.0,0,0,26.2875,S,First,man,True,Southampton,yes,True,0
702,0,3,female,18.0,0,1,14.4542,C,Third,woman,False,Cherbourg,no,False,1
703,0,3,male,25.0,0,0,7.7417,Q,Third,man,True,Queenstown,no,True,0
704,0,3,male,26.0,1,0,7.8542,S,Third,man,True,Southampton,no,False,1
705,0,2,male,39.0,0,0,26.0,S,Second,man,True,Southampton,no,True,0
706,1,2,female,45.0,0,0,13.5,S,Second,woman,False,Southampton,yes,True,0
707,1,1,male,42.0,0,0,26.2875,S,First,man,True,Southampton,yes,True,0
710,1,1,female,24.0,0,0,49.5042,C,First,woman,False,Cherbourg,yes,True,0
712,1,1,male,48.0,1,0,52.0,S,First,man,True,Southampton,yes,False,1
713,0,3,male,29.0,0,0,9.4833,S,Third,man,True,Southampton,no,True,0
714,0,2,male,52.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
715,0,3,male,19.0,0,0,7.65,S,Third,man,True,Southampton,no,True,0
717,1,2,female,27.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,0
719,0,3,male,33.0,0,0,7.775,S,Third,man,True,Southampton,no,True,0
720,1,2,female,6.0,0,1,33.0,S,Second,child,False,Southampton,yes,False,1
721,0,3,male,17.0,1,0,7.0542,S,Third,man,True,Southampton,no,False,1
722,0,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
723,0,2,male,50.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
724,1,1,male,27.0,1,0,53.1,S,First,man,True,Southampton,yes,False,1
725,0,3,male,20.0,0,0,8.6625,S,Third,man,True,Southampton,no,True,0
726,1,2,female,30.0,3,0,21.0,S,Second,woman,False,Southampton,yes,False,3
728,0,2,male,25.0,1,0,26.0,S,Second,man,True,Southampton,no,False,1
729,0,3,female,25.0,1,0,7.925,S,Third,woman,False,Southampton,no,False,1
731,0,3,male,11.0,0,0,18.7875,C,Third,child,False,Cherbourg,no,True,0
733,0,2,male,23.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
734,0,2,male,23.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
735,0,3,male,28.5,0,0,16.1,S,Third,man,True,Southampton,no,True,0
736,0,3,female,48.0,1,3,34.375,S,Third,woman,False,Southampton,no,False,4
743,0,3,male,24.0,1,0,16.1,S,Third,man,True,Southampton,no,False,1
744,1,3,male,31.0,0,0,7.925,S,Third,man,True,Southampton,yes,True,0
746,0,3,male,16.0,1,1,20.25,S,Third,man,True,Southampton,no,False,2
747,1,2,female,30.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0
748,0,1,male,19.0,1,0,53.1,S,First,man,True,Southampton,no,False,1
749,0,3,male,31.0,0,0,7.75,Q,Third,man,True,Queenstown,no,True,0
750,1,2,female,4.0,1,1,23.0,S,Second,child,False,Southampton,yes,False,2
751,1,3,male,6.0,0,1,12.475,S,Third,child,False,Southampton,yes,False,1
752,0,3,male,33.0,0,0,9.5,S,Third,man,True,Southampton,no,True,0
753,0,3,male,23.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
754,1,2,female,48.0,1,2,65.0,S,Second,woman,False,Southampton,yes,False,3
755,1,2,male,0.67,1,1,14.5,S,Second,child,False,Southampton,yes,False,2
756,0,3,male,28.0,0,0,7.7958,S,Third,man,True,Southampton,no,True,0
757,0,2,male,18.0,0,0,11.5,S,Second,man,True,Southampton,no,True,0
758,0,3,male,34.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
761,0,3,male,41.0,0,0,7.125,S,Third,man,True,Southampton,no,True,0
762,1,3,male,20.0,0,0,7.2292,C,Third,man,True,Cherbourg,yes,True,0
764,0,3,male,16.0,0,0,7.775,S,Third,man,True,Southampton,no,True,0
767,0,3,female,30.5,0,0,7.75,Q,Third,woman,False,Queenstown,no,True,0
769,0,3,male,32.0,0,0,8.3625,S,Third,man,True,Southampton,no,True,0
770,0,3,male,24.0,0,0,9.5,S,Third,man,True,Southampton,no,True,0
771,0,3,male,48.0,0,0,7.8542,S,Third,man,True,Southampton,no,True,0
772,0,2,female,57.0,0,0,10.5,S,Second,woman,False,Southampton,no,True,0
774,1,2,female,54.0,1,3,23.0,S,Second,woman,False,Southampton,yes,False,4
775,0,3,male,18.0,0,0,7.75,S,Third,man,True,Southampton,no,True,0
777,1,3,female,5.0,0,0,12.475,S,Third,child,False,Southampton,yes,True,0
780,1,3,female,13.0,0,0,7.2292,C,Third,child,False,Cherbourg,yes,True,0
781,1,1,female,17.0,1,0,57.0,S,First,woman,False,Southampton,yes,False,1
782,0,1,male,29.0,0,0,30.0,S,First,man,True,Southampton,no,True,0
784,0,3,male,25.0,0,0,7.05,S,Third,man,True,Southampton,no,True,0
785,0,3,male,25.0,0,0,7.25,S,Third,man,True,Southampton,no,True,0
786,1,3,female,18.0,0,0,7.4958,S,Third,woman,False,Southampton,yes,True,0
787,0,3,male,8.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,5
788,1,3,male,1.0,1,2,20.575,S,Third,child,False,Southampton,yes,False,3
791,0,2,male,16.0,0,0,26.0,S,Second,man,True,Southampton,no,True,0
794,0,3,male,25.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
795,0,2,male,39.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
796,1,1,female,49.0,0,0,25.9292,S,First,woman,False,Southampton,yes,True,0
797,1,3,female,31.0,0,0,8.6833,S,Third,woman,False,Southampton,yes,True,0
798,0,3,male,30.0,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,0
799,0,3,female,30.0,1,1,24.15,S,Third,woman,False,Southampton,no,False,2
800,0,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
801,1,2,female,31.0,1,1,26.25,S,Second,woman,False,Southampton,yes,False,2
803,1,3,male,0.42,0,1,8.5167,C,Third,child,False,Cherbourg,yes,False,1
804,1,3,male,27.0,0,0,6.975,S,Third,man,True,Southampton,yes,True,0
805,0,3,male,31.0,0,0,7.775,S,Third,man,True,Southampton,no,True,0
806,0,1,male,39.0,0,0,0.0,S,First,man,True,Southampton,no,True,0
807,0,3,female,18.0,0,0,7.775,S,Third,woman,False,Southampton,no,True,0
808,0,2,male,39.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
809,1,1,female,33.0,1,0,53.1,S,First,woman,False,Southampton,yes,False,1
810,0,3,male,26.0,0,0,7.8875,S,Third,man,True,Southampton,no,True,0
811,0,3,male,39.0,0,0,24.15,S,Third,man,True,Southampton,no,True,0
812,0,2,male,35.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0
813,0,3,female,6.0,4,2,31.275,S,Third,child,False,Southampton,no,False,6
814,0,3,male,30.5,0,0,8.05,S,Third,man,True,Southampton,no,True,0
816,0,3,female,23.0,0,0,7.925,S,Third,woman,False,Southampton,no,True,0
817,0,2,male,31.0,1,1,37.0042,C,Second,man,True,Cherbourg,no,False,2
818,0,3,male,43.0,0,0,6.45,S,Third,man,True,Southampton,no,True,0
819,0,3,male,10.0,3,2,27.9,S,Third,child,False,Southampton,no,False,5
821,1,3,male,27.0,0,0,8.6625,S,Third,man,True,Southampton,yes,True,0
822,0,1,male,38.0,0,0,0.0,S,First,man,True,Southampton,no,True,0
823,1,3,female,27.0,0,1,12.475,S,Third,woman,False,Southampton,yes,False,1
824,0,3,male,2.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,5
827,1,2,male,1.0,0,2,37.0042,C,Second,child,False,Cherbourg,yes,False,2
830,1,3,female,15.0,1,0,14.4542,C,Third,child,False,Cherbourg,yes,False,1
831,1,2,male,0.83,1,1,18.75,S,Second,child,False,Southampton,yes,False,2
833,0,3,male,23.0,0,0,7.8542,S,Third,man,True,Southampton,no,True,0
834,0,3,male,18.0,0,0,8.3,S,Third,man,True,Southampton,no,True,0
836,0,3,male,21.0,0,0,8.6625,S,Third,man,True,Southampton,no,True,0
838,1,3,male,32.0,0,0,56.4958,S,Third,man,True,Southampton,yes,True,0
840,0,3,male,20.0,0,0,7.925,S,Third,man,True,Southampton,no,True,0
841,0,2,male,16.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0
842,1,1,female,30.0,0,0,31.0,C,First,woman,False,Cherbourg,yes,True,0
843,0,3,male,34.5,0,0,6.4375,C,Third,man,True,Cherbourg,no,True,0
844,0,3,male,17.0,0,0,8.6625,S,Third,man,True,Southampton,no,True,0
845,0,3,male,42.0,0,0,7.55,S,Third,man,True,Southampton,no,True,0
847,0,3,male,35.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,0
848,0,2,male,28.0,0,1,33.0,S,Second,man,True,Southampton,no,False,1
850,0,3,male,4.0,4,2,31.275,S,Third,child,False,Southampton,no,False,6
852,0,3,female,9.0,1,1,15.2458,C,Third,child,False,Cherbourg,no,False,2
853,1,1,female,16.0,0,1,39.4,S,First,woman,False,Southampton,yes,False,1
854,0,2,female,44.0,1,0,26.0,S,Second,woman,False,Southampton,no,False,1
855,1,3,female,18.0,0,1,9.35,S,Third,woman,False,Southampton,yes,False,1
857,1,1,male,51.0,0,0,26.55,S,First,man,True,Southampton,yes,True,0
858,1,3,female,24.0,0,3,19.2583,C,Third,woman,False,Cherbourg,yes,False,3
860,0,3,male,41.0,2,0,14.1083,S,Third,man,True,Southampton,no,False,2
861,0,2,male,21.0,1,0,11.5,S,Second,man,True,Southampton,no,False,1
862,1,1,female,48.0,0,0,25.9292,S,First,woman,False,Southampton,yes,True,0
864,0,2,male,24.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
865,1,2,female,42.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0
866,1,2,female,27.0,1,0,13.8583,C,Second,woman,False,Cherbourg,yes,False,1
867,0,1,male,31.0,0,0,50.4958,S,First,man,True,Southampton,no,True,0
869,1,3,male,4.0,1,1,11.1333,S,Third,child,False,Southampton,yes,False,2
870,0,3,male,26.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
871,1,1,female,47.0,1,1,52.5542,S,First,woman,False,Southampton,yes,False,2
872,0,1,male,33.0,0,0,5.0,S,First,man,True,Southampton,no,True,0
873,0,3,male,47.0,0,0,9.0,S,Third,man,True,Southampton,no,True,0
874,1,2,female,28.0,1,0,24.0,C,Second,woman,False,Cherbourg,yes,False,1
875,1,3,female,15.0,0,0,7.225,C,Third,child,False,Cherbourg,yes,True,0
876,0,3,male,20.0,0,0,9.8458,S,Third,man,True,Southampton,no,True,0
877,0,3,male,19.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
880,1,2,female,25.0,0,1,26.0,S,Second,woman,False,Southampton,yes,False,1
881,0,3,male,33.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
882,0,3,female,22.0,0,0,10.5167,S,Third,woman,False,Southampton,no,True,0
883,0,2,male,28.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0
884,0,3,male,25.0,0,0,7.05,S,Third,man,True,Southampton,no,True,0
885,0,3,female,39.0,0,5,29.125,Q,Third,woman,False,Queenstown,no,False,5
886,0,2,male,27.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
887,1,1,female,19.0,0,0,30.0,S,First,woman,False,Southampton,yes,True,0
889,1,1,male,26.0,0,0,30.0,C,First,man,True,Cherbourg,yes,True,0
890,0,3,male,32.0,0,0,7.75,Q,Third,man,True,Queenstown,no,True,0
